allocation_mhz,allocation_sc,bc_0.5_khz,bc_0.5_rb,bc_0.5_sc,bc_0.9_khz,bc_0.9_rb,bc_0.9_sc,case_id,cdd_delay_samples,delay_spread_ns,dmrs_spacing_sc,label,pdp_len,rho_edge,rho_mean_in_allocation,rho_min_in_allocation
17.28,576,9330.0,25.916666666666668,311,2610.0,7.25,87,ds30_d16_sf6,16,30.0,6,ds30_d16_sf6_orig_branch,31,0.3037785179594711,0.5874374941317364,0.3037785179594711
17.28,576,2430.0,6.75,81,1020.0,2.8333333333333335,34,ds30_d16_sf6,16,30.0,6,ds30_d16_sf6_cdd_equiv,47,0.21742364936262787,0.38405361558568507,3.5951043441907077e-17
17.28,576,9330.0,25.916666666666668,311,2610.0,7.25,87,ds30_d32_sf6,32,30.0,6,ds30_d32_sf6_orig_branch,31,0.3037785179594711,0.5874374941317364,0.3037785179594711
17.28,576,1290.0,3.5833333333333335,43,540.0,1.5,18,ds30_d32_sf6,32,30.0,6,ds30_d32_sf6_cdd_equiv,63,0.007455098029595509,0.37456748565791276,4.2625612254521866e-17
17.28,576,2790.0,7.75,93,780.0,2.1666666666666665,26,ds100_d16_sf6,16,100.0,6,ds100_d16_sf6_orig_branch,100,0.09492046197334955,0.2860393205927533,0.09492046197334955
17.28,576,1800.0,5.0,60,630.0,1.75,21,ds100_d16_sf6,16,100.0,6,ds100_d16_sf6_cdd_equiv,116,0.06793750058450704,0.19559849665132942,2.899864416174898e-17
17.28,576,2790.0,7.75,93,780.0,2.1666666666666665,26,ds100_d32_sf6,32,100.0,6,ds100_d32_sf6_orig_branch,100,0.09492046197334955,0.2860393205927533,0.09492046197334955
17.28,576,1140.0,3.1666666666666665,38,450.0,1.25,15,ds100_d32_sf6,32,100.0,6,ds100_d32_sf6_cdd_equiv,132,0.0023294647487886776,0.18463837323176724,5.932054658136947e-17
17.28,576,9330.0,25.916666666666668,311,2610.0,7.25,87,ds30_d64_sf2,64,30.0,2,ds30_d64_sf2_orig_branch,31,0.3037785179594711,0.5874374941317364,0.3037785179594711
17.28,576,660.0,1.8333333333333333,22,300.0,0.8333333333333334,10,ds30_d64_sf2,64,30.0,2,ds30_d64_sf2_cdd_equiv,95,0.3034126034306609,0.37408660493564017,6.265029369456855e-17
