algorithm,bc_g_0p5_sc,bc_g_0p9_sc,bc_h_0p5_sc,bc_h_0p9_sc,cdd_delay_ns,cdd_delay_samples,ce_nmse_branch_mean,ce_nmse_branch_median,ce_nmse_eff_mean,ce_nmse_eff_median,delay_spread_ns,dmrs_overhead_alg1,dmrs_spacing_sc,dmrs_symbols,family,gain_vs_alg1_db,n_prbs,n_sc,overhead_mode,pilot_count_combined,pilot_count_per_port,snr_db,total_dmrs_re_alg1,total_pilot_re_relative,trials
Alg3 Port-DMRS RMMSE equal-total,3,2,,267,4166.666666666667,512,0.08084437178064528,0.06921434865814463,0.0808166710893509,0.06914414138518268,10.0,0.008333333333333333,24,2,alg3_port_dmrs,7.959925201034615,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,3,2,311,87,4166.666666666667,512,0.11686544670195977,0.10902022503902964,0.11686675481594593,0.10900801389243547,30.0,0.008333333333333333,24,2,alg3_port_dmrs,6.77484836707583,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,3,2,93,26,4166.666666666667,512,0.23629194048175875,0.22537674355083986,0.236183285614854,0.22541123307809374,100.0,0.008333333333333333,24,2,alg3_port_dmrs,3.8525114697164904,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,,267,1041.6666666666667,128,0.07021143321480573,0.06480782845753341,0.07029343111955264,0.06484029672312398,10.0,0.008333333333333333,24,2,alg3_port_dmrs,0.45978336539833126,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,6,3,,267,2083.3333333333335,256,0.017663166496357737,0.016482522838588063,0.017653965141638216,0.0164764456352397,10.0,0.05,4,2,alg3_port_dmrs,0.2313734712739848,48,576,equal_total_overhead,144,72,0.0,288,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,93,26,1041.6666666666667,128,0.2271075033937891,0.22652567917797756,0.2271611813149738,0.22587012168824416,100.0,0.008333333333333333,24,2,alg3_port_dmrs,0.19649213881452243,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,3,2,,267,4166.666666666667,512,0.02347660567788654,0.02104796241572787,0.02346903587484166,0.021060081685755183,10.0,0.03333333333333333,6,2,alg3_port_dmrs,0.19454745534768794,48,576,equal_total_overhead,96,48,0.0,192,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,311,87,1041.6666666666667,128,0.031851866837452204,0.03072619492298284,0.031985242020487005,0.031053763640166605,30.0,0.05,4,2,alg3_port_dmrs,0.1894632394574059,48,576,equal_total_overhead,144,72,0.0,288,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,311,87,1041.6666666666667,128,0.04207634250682312,0.03830427543467879,0.042305855059782974,0.03829680506239393,30.0,0.03333333333333333,6,2,alg3_port_dmrs,0.1616107059787526,48,576,equal_total_overhead,96,48,0.0,192,1.0,30
Alg3 Port-DMRS RMMSE equal-total,3,2,311,87,4166.666666666667,512,0.04180606415652107,0.03739166332842928,0.041818379237994065,0.03735819637819391,30.0,0.03333333333333333,6,2,alg3_port_dmrs,0.1326044353157147,48,576,equal_total_overhead,96,48,0.0,192,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,,267,1041.6666666666667,128,0.016971416879474042,0.015064163435473286,0.016978623346217137,0.015085540399775468,10.0,0.05,4,2,alg3_port_dmrs,0.11447945571770463,48,576,equal_total_overhead,144,72,0.0,288,1.0,30
Alg3 Port-DMRS RMMSE equal-total,11,5,93,26,1041.6666666666667,128,0.0882549013322454,0.08658957350204795,0.08860366946736042,0.08677819194820509,100.0,0.03333333333333333,6,2,alg3_port_dmrs,0.09077351454052132,48,576,equal_total_overhead,96,48,0.0,192,1.0,30
Alg3 Port-DMRS RMMSE equal-total,6,3,,267,2083.3333333333335,256,0.027052840717728004,0.023944951724628228,0.027054426297452645,0.023930636558112936,10.0,0.03333333333333333,6,2,alg3_port_dmrs,0.08288773144202674,48,576,equal_total_overhead,96,48,0.0,192,1.0,30
Alg3 Port-DMRS RMMSE equal-total,22,10,311,87,520.8333333333334,64,0.12626006527998565,0.12929672387997854,0.12628018539632815,0.12777758102183,30.0,0.008333333333333333,24,2,alg3_port_dmrs,0.009468462872323172,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
Alg3 Port-DMRS RMMSE equal-total,6,3,311,87,2083.3333333333335,256,0.11681050003351481,0.1144667276850477,0.11677984628639601,0.1145431493183112,30.0,0.008333333333333333,24,2,alg3_port_dmrs,0.003656254073056879,48,576,equal_total_overhead,24,12,0.0,48,1.0,30
